['Date', 'Close']
0.0,975.4
1.0,963.1
2.0,970.4
3.0,974.4
6.0,981.1
7.0,990.1
8.0,983.8
9.0,998.05
9.0,999.25
12.0,1017.15
13.0,1005.8
14.0,993.6
15.0,986.7
16.0,991.0
19.0,953.45
20.0,977.9
21.0,999.95
22.0,1013.4
23.0,1002.7
26.0,996.15
27.0,1010.05
28.0,1030.05
29.0,1053.0
30.0,1039.55
33.0,1025.6
34.0,1044.3
35.0,1042.65
36.0,1020.45
37.0,1022.05
41.0,1014.3
42.0,987.4
43.0,999.75
44.0,994.2
47.0,1002.15
48.0,1011.5
49.0,1044.75
50.0,1082.55
51.0,1103.6
54.0,1129.7
55.0,1116.9
56.0,1106.25
57.0,1092.4
58.0,1089.6
59.0,1090.55
61.0,1080.1
64.0,1079.25
65.0,1074.65
68.0,1079.35
69.0,1087.1
69.0,1083.2
70.0,1080.05
71.0,1066.95
74.0,1059.4
75.0,1065.15
76.0,1063.3
77.0,1063.6
78.0,1068.7
81.0,1075.75
82.0,1106.25
83.0,1096.8
84.0,1087.35
85.0,1095.15
88.0,1117.85
89.0,1148.55
90.0,1148.1
91.0,1144.15
92.0,1150.0
95.0,1160.8
96.0,1149.85
97.0,1164.55
98.0,1198.8
99.0,1189.35
102.0,1192.4
103.0,1191.9
104.0,1198.6
105.0,1194.3
106.0,1176.9
109.0,1173.45
110.0,1120.5
111.0,1120.85
112.0,1149.6
113.0,1160.2
116.0,1181.25
117.0,1141.85
118.0,1128.75
119.0,1136.95
120.0,1153.95
124.0,1191.4
125.0,1196.0
126.0,1211.9
127.0,1222.0
135.0,1248.5
136.0,1280.15
137.0,1259.05
138.0,1263.0
141.0,1243.8
142.0,1256.4
143.0,1235.4
144.0,1277.65
145.0,1323.95
148.0,1326.35
149.0,1324.1
150.0,1304.65
151.0,1315.45
152.0,1298.15
155.0,1313.45
156.0,1302.7
157.0,1307.15
158.0,1315.45
162.0,1297.75
164.0,1277.9
164.0,1292.05
165.0,1300.5
168.0,1305.8
169.0,1298.4
170.0,1306.3
171.0,1304.5
172.0,1287.4
